title      O1	      O2	      O3	      Ofast
BASE   5656.275	  30024.552	  30202.676	  30402.731
DICHO   5767.516	  30472.993	  30449.349	  30546.529
UNROLL4   1415.327	   2230.558	   2263.500	   2219.210
UNROLL8    706.499	   1792.833	   1693.529	   1679.225
CBLAS 110889.324	 102867.186	 107444.494	  77403.406
