     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       40413.322;         484.505;         615.533;         508.210;          27.014 ( 5.316 %);  30024.552
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       14727.348;         494.406;         523.184;         500.732;           6.817 ( 1.361 %);  30472.993
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       80874.026;        6663.820;        7396.265;        6840.794;         216.822 ( 3.170 %);   2230.558
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      148841.088;        8382.123;        8892.466;        8510.994;         121.766 ( 1.431 %);   1792.833
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       14111.551;         132.643;         475.606;         148.335;          59.451 (40.079 %); 102867.186
