     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       18916.088;         484.472;         565.139;         505.213;          19.387 ( 3.837 %);  30202.676
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       16955.454;         493.173;         523.014;         501.120;           8.204 ( 1.637 %);  30449.349
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       60710.319;        6661.919;        6892.785;        6741.235;          76.516 ( 1.135 %);   2263.500
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      270680.703;        8411.178;        9292.044;        9010.054;         261.328 ( 2.900 %);   1693.529
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       14857.831;         125.389;         456.669;         142.016;          60.188 (42.381 %); 107444.494
