     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       24848.241;         484.335;         567.196;         501.889;          19.650 ( 3.915 %);  30402.731
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       21314.593;         493.617;         518.957;         499.526;           6.073 ( 1.216 %);  30546.529
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      127978.508;        6661.498;        7341.954;        6875.774;         261.644 ( 3.805 %);   2219.210
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      133632.006;        8445.830;        9385.876;        9086.802;         201.129 ( 2.213 %);   1679.225
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       23614.722;         126.505;         865.087;         197.133;         128.306 (65.086 %);  77403.406
