     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       13946.724;        2624.372;        2897.657;        2697.675;          71.469 ( 2.649 %);   5656.275
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       19888.086;        2621.315;        2748.294;        2645.643;          26.453 ( 1.000 %);   5767.516
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       73087.507;       10697.644;       10966.720;       10781.104;          65.668 ( 0.609 %);   1415.327
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      109845.491;       21498.175;       21803.400;       21597.752;          89.293 ( 0.413 %);    706.499
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       14680.956;         126.594;         453.672;         137.604;          56.790 (41.271 %); 110889.324
