     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       12983.314;        2617.063;        2880.140;        2702.481;          78.332 ( 2.899 %);   5646.216
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;      277891.956;        1308.197;        1415.639;        1335.565;          20.505 ( 1.535 %);  11424.969
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       71262.352;        2664.668;        2731.749;        2684.431;          16.285 ( 0.607 %);   5684.180
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      236547.086;        3024.542;        3221.079;        3049.860;          37.182 ( 1.219 %);   5003.111
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       21526.909;         713.138;         733.221;         720.514;           5.853 ( 0.812 %);  21177.632
