     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       26289.265;         482.947;         577.822;         512.970;          23.999 ( 4.678 %);  29745.995
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       13180.741;         493.342;         649.400;         522.381;          32.251 ( 6.174 %);  29210.084
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       53770.436;        6655.635;        6996.020;        6712.090;          68.632 ( 1.023 %);   2273.329
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      145948.721;        8347.597;        8562.496;        8407.604;          56.787 ( 0.675 %);   1814.880
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       14831.872;         713.255;         732.460;         721.435;           6.571 ( 0.911 %);  21150.605
