     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       18615.247;        2618.863;        2832.394;        2681.279;          65.020 ( 2.425 %);   5690.863
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       17660.120;        1306.986;        1388.887;        1327.407;          20.793 ( 1.566 %);  11495.185
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       65611.631;        2664.283;        2695.229;        2677.813;           8.243 ( 0.308 %);   5698.227
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      210994.613;        3016.984;        3188.247;        3052.411;          38.716 ( 1.268 %);   4998.931
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       61327.925;         712.725;         728.270;         719.392;           5.741 ( 0.798 %);  21210.663
