title      O1	      O2	      O3	      Ofast
BASE   5665.932	   5690.863	   5646.216	  29745.995
DICHO  11433.888	  11495.185	  11424.969	  29210.084
UNROLL4   5651.547	   5698.227	   5684.180	   2273.329
UNROLL8   4126.175	   4998.931	   5003.111	   1814.880
CBLAS  20883.666	  21210.663	  21177.632	  21150.605
