     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       20199.272;        2620.469;        2943.770;        2693.076;          83.387 ( 3.096 %);   5665.932
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       20509.947;        1311.832;        1452.704;        1334.523;          25.198 ( 1.888 %);  11433.888
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      343625.753;        2677.438;        2759.527;        2699.931;          16.845 ( 0.624 %);   5651.547
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      127987.370;        3646.537;        4173.715;        3698.047;         106.876 ( 2.890 %);   4126.175
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       17169.948;         713.467;         820.304;         730.657;          20.372 ( 2.788 %);  20883.666
