     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       81002.352;        1318.455;        1580.604;        1379.070;          68.637 ( 4.977 %);  11064.552
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;      174523.389;         671.251;         710.046;         680.103;           8.972 ( 1.319 %);  22436.009
   ADRESSE;          31.250;           0.031;           0.000;       2000;       5000;      197908.247;        1318.727;        1569.126;        1346.380;          47.094 ( 3.498 %);  11333.199
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      262754.937;        1339.393;        1518.994;        1369.511;          33.144 ( 2.420 %);  11141.775
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;     1073848.163;        1697.543;        1749.251;        1711.501;          13.713 ( 0.801 %);   8915.445
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;      134463.670;        2657.516;        2804.529;        2694.169;          30.619 ( 1.137 %);   5663.635
