     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       95401.933;        2646.787;        2993.499;        2715.215;          83.319 ( 3.069 %);   5619.736
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;     1384565.962;        1333.219;        1535.631;        1357.202;          36.434 ( 2.685 %);  11242.828
   ADRESSE;          31.250;           0.031;           0.000;       2000;       5000;       97410.437;        2641.405;        2699.242;        2662.827;          13.944 ( 0.524 %);   5730.297
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      341770.161;        2671.287;        2920.773;        2711.936;          45.842 ( 1.690 %);   5626.529
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;     1010653.131;        2701.148;        2982.991;        2739.035;          66.505 ( 2.428 %);   5570.863
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;      112183.369;        2659.467;        2817.770;        2694.128;          40.833 ( 1.516 %);   5663.720
