     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;      140695.571;        2648.410;        3026.390;        2726.317;          92.116 ( 3.379 %);   5596.851
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;      294324.996;        2648.730;        2838.976;        2678.444;          35.178 ( 1.313 %);   5696.885
   ADRESSE;          31.250;           0.031;           0.000;       2000;       5000;      167321.918;        2650.000;        2855.779;        2691.703;          41.684 ( 1.549 %);   5668.823
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      937002.258;        8045.426;        8530.771;        8111.210;          92.753 ( 1.144 %);   1881.198
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      580009.646;       10751.374;       10968.179;       10817.435;          59.439 ( 0.549 %);   1410.574
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;      229824.299;         221.087;         542.179;         234.805;          55.380 (23.586 %);  64984.946
