     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         40;       50710.399;          28.550;          34.400;          28.864;           0.997 ( 3.454 %);  26431.854
     DICHO;           1.562;           0.002;           0.000;        100;         40;        2139.305;          33.075;          38.000;          33.355;           0.837 ( 2.509 %);  22873.628
   ADRESSE;           1.562;           0.002;           0.000;        100;         40;        2880.979;          28.650;          31.000;          28.811;           0.402 ( 1.397 %);  26480.505
   UNROLL4;           1.562;           0.002;           0.000;        100;         40;       13253.639;         177.950;         180.825;         178.379;           0.492 ( 0.276 %);   4277.075
   UNROLL8;           1.562;           0.002;           0.000;        100;         40;       29417.137;         298.875;         301.525;         299.545;           0.483 ( 0.161 %);   2546.997
     CBLAS;           1.562;           0.002;           0.000;        100;         40;        3053.827;          43.425;       37004.200;        1163.667;        6434.006 (552.908 %);    655.634
