     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         40;        3370.041;          29.050;          37.000;          29.470;           1.353 ( 4.591 %);  25888.283
     DICHO;           1.562;           0.002;           0.000;        100;         40;        9352.809;          33.325;          37.825;          33.616;           0.767 ( 2.280 %);  22695.785
   ADRESSE;           1.562;           0.002;           0.000;        100;         40;        3857.639;          28.575;          30.875;          28.812;           0.395 ( 1.371 %);  26479.809
   UNROLL4;           1.562;           0.002;           0.000;        100;         40;        7060.602;         211.025;         213.300;         211.477;           0.415 ( 0.196 %);   3607.666
   UNROLL8;           1.562;           0.002;           0.000;        100;         40;       21496.635;         297.950;         300.825;         298.539;           0.518 ( 0.174 %);   2555.574
     CBLAS;           1.562;           0.002;           0.000;        100;         40;        6384.531;          28.775;       45022.600;        1392.592;        7832.353 (562.430 %);    547.856
