     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         40;        2349.240;          28.650;          35.325;          28.957;           1.146 ( 3.956 %);  26347.489
     DICHO;           1.562;           0.002;           0.000;        100;         40;        2459.446;          33.050;          36.075;          33.222;           0.514 ( 1.548 %);  22964.907
   ADRESSE;           1.562;           0.002;           0.000;        100;         40;        8891.378;          28.575;          30.500;          28.758;           0.324 ( 1.125 %);  26529.335
   UNROLL4;           1.562;           0.002;           0.000;        100;         40;        6372.300;         210.625;         212.350;         211.115;           0.400 ( 0.190 %);   3613.855
   UNROLL8;           1.562;           0.002;           0.000;        100;         40;       13860.609;         297.875;         300.850;         298.495;           0.542 ( 0.182 %);   2555.950
     CBLAS;           1.562;           0.002;           0.000;        100;         40;        5826.516;          25.450;       39239.275;        1213.996;        6826.206 (562.292 %);    628.453
