     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;      162171.119;        2653.925;        3111.061;        2730.275;         105.016 ( 3.846 %);   5588.736
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;      117886.211;        1333.436;        1458.559;        1359.335;          24.454 ( 1.799 %);  11225.190
   ADRESSE;          31.250;           0.031;           0.000;       2000;       5000;      176535.658;        2652.080;        2719.743;        2677.549;          16.176 ( 0.604 %);   5698.789
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      661660.227;        3144.452;        3420.810;        3188.895;          52.051 ( 1.632 %);   4784.977
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;     1340935.986;        6930.025;        7597.913;        7021.801;         122.716 ( 1.748 %);   2173.059
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       81163.289;        2656.787;        2801.506;        2679.832;          25.591 ( 0.955 %);   5693.934
