     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          46.875;           0.046;           0.000;       3000;       5000;      116345.656;        3987.148;        4307.999;        4083.554;         102.859 ( 2.519 %);   5604.967
     DICHO;          46.875;           0.046;           0.000;       3000;       5000;      207488.831;        2006.152;        2042.718;        2017.206;          11.465 ( 0.568 %);  11346.475
   ADRESSE;          46.875;           0.046;           0.000;       3000;       5000;     1125831.603;        3985.863;        4151.463;        4015.978;          38.748 ( 0.965 %);   5699.281
   UNROLL4;          46.875;           0.046;           0.000;       3000;       5000;      778550.802;        4417.730;        4705.529;        4474.433;          73.274 ( 1.638 %);   5115.326
   UNROLL8;          46.875;           0.046;           0.000;       3000;       5000;    28587620.769;       10340.415;       10734.442;       10434.260;         104.259 ( 0.999 %);   2193.561
     CBLAS;          46.875;           0.046;           0.000;       3000;       5000;      152349.808;        4001.635;        4321.095;        4049.410;          76.068 ( 1.878 %);   5652.227
