title      O1	      O2	      O3	      Ofast
BASE   5604.967	   5587.623	   5588.736	  20429.563
DICHO  11346.475	  11167.240	  11225.190	  22349.486
ADRESSE   5699.281	   5682.788	   5698.789	  22399.731
UNROLL4   5115.326	   4804.251	   4784.977	   2796.299
UNROLL8   2193.561	   2190.981	   2173.059	   2497.317
CBLAS   5652.227	   5681.046	   5693.934	   5679.140
