     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       97889.833;         667.035;         936.749;         746.897;          82.474 (11.042 %);  20429.563
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;      154820.149;         666.598;         746.565;         682.736;          19.492 ( 2.855 %);  22349.486
   ADRESSE;          31.250;           0.031;           0.000;       2000;       5000;      124439.614;         665.610;         747.897;         681.204;          17.138 ( 2.516 %);  22399.731
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      551871.577;        5371.539;        5897.732;        5456.780;         104.497 ( 1.915 %);   2796.299
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;     2225422.204;        6049.939;        6416.715;        6110.072;          65.857 ( 1.078 %);   2497.317
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;      119183.529;        2655.633;        2817.009;        2686.813;          31.690 ( 1.179 %);   5679.140
