     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;    37452969.601;        2650.992;        3003.209;        2730.819;          96.276 ( 3.526 %);   5587.623
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;      733142.929;        1336.243;        1498.636;        1366.389;          37.765 ( 2.764 %);  11167.240
   ADRESSE;          31.250;           0.031;           0.000;       2000;       5000;      105162.208;        2655.116;        2733.381;        2685.088;          20.906 ( 0.779 %);   5682.788
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      331867.643;        3107.990;        3496.065;        3176.101;          61.447 ( 1.935 %);   4804.251
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      811346.301;        6855.029;        7400.737;        6964.363;         137.265 ( 1.971 %);   2190.981
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       74813.074;        2655.823;        2804.536;        2685.912;          27.046 ( 1.007 %);   5681.046
