     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       23975.383;        2621.173;        2850.245;        2692.573;          63.087 ( 2.343 %);   5666.992
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       18867.274;        1310.630;        1428.535;        1337.221;          22.139 ( 1.656 %);  11410.817
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       62582.143;        2668.278;        2715.132;        2687.916;          12.558 ( 0.467 %);   5676.810
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      141557.884;        3241.880;        3440.318;        3286.912;          46.858 ( 1.426 %);   4642.287
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       39706.016;         713.661;         755.667;         722.559;           8.545 ( 1.183 %);  21117.706
