     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       20352.381;        1286.028;        1481.766;        1330.549;          46.937 ( 3.528 %);  11468.039
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       25167.992;         652.577;         685.043;         659.778;           8.106 ( 1.229 %);  23127.154
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       65793.211;        1321.736;        1506.966;        1349.701;          41.069 ( 3.043 %);  11305.314
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      127337.929;        1013.148;        1224.225;        1037.590;          39.492 ( 3.806 %);  14705.994
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       19343.369;         713.316;         734.759;         723.671;           6.838 ( 0.945 %);  21085.261
