     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       19170.555;        2629.085;        2899.484;        2699.914;          76.820 ( 2.845 %);   5651.583
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       13384.704;        1311.449;        1410.668;        1335.475;          21.419 ( 1.604 %);  11425.740
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;       58740.072;        2678.311;        2784.638;        2703.674;          20.237 ( 0.748 %);   5643.723
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      221161.039;        3636.593;        3864.647;        3677.784;          54.261 ( 1.475 %);   4148.908
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;       26571.008;         713.317;         829.838;         735.212;          24.334 ( 3.310 %);  20754.267
