title      O1	      O2	      O3	      Ofast
BASE   5651.583	   5666.992	   5688.823	  11468.039
DICHO  11425.740	  11410.817	  11488.587	  23127.154
UNROLL4   5643.723	   5676.810	   5689.999	  11305.314
UNROLL8   4148.908	   4642.287	   5630.433	  14705.994
CBLAS  20754.267	  21117.706	  20940.190	  21085.261
