     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          31.250;           0.031;           0.000;       2000;       5000;       15763.490;        2620.718;        2864.007;        2682.240;          70.260 ( 2.619 %);   5688.823
     DICHO;          31.250;           0.031;           0.000;       2000;       5000;       20455.208;        1301.920;        1427.183;        1328.169;          28.393 ( 2.138 %);  11488.587
   UNROLL4;          31.250;           0.031;           0.000;       2000;       5000;      143531.193;        2659.360;        2740.675;        2681.686;          18.648 ( 0.695 %);   5689.999
   UNROLL8;          31.250;           0.031;           0.000;       2000;       5000;      146136.977;        2681.238;        2950.477;        2710.056;          47.067 ( 1.737 %);   5630.433
     CBLAS;          31.250;           0.031;           0.000;       2000;       5000;      185461.818;         714.017;         794.165;         728.684;          17.071 ( 2.343 %);  20940.190
